Alias;Type;Experiment;Geometry;Parent;Species;Variety;ExperimentModalities;Repetition
1/DZ_PG_67/ZM4394/WW/1/DIA2017-05-19;Plot;;Polygon ((3.973359402 43.61321499, 3.973389651 43.61319639, 3.973437651 43.6132376, 3.973407402 43.6132562, 3.973359402 43.61321499));;Maize;iPG310;WW;1
2/DZ_PG_30/ZM4361/WW/1/DIA2017-05-19;Plot;;Polygon ((3.973389651 43.61319639, 3.9734199 43.61317779, 3.973467901 43.61321899, 3.973437651 43.6132376, 3.973389651 43.61319639));;Maize;iPG152;WW;1
3/DZ_PG_49/ZM4389/WW/1/DIA2017-05-19;Plot;;Polygon ((3.9734199 43.61317779, 3.973450149 43.61315919, 3.97349815 43.61320039, 3.973467901 43.61321899, 3.9734199 43.61317779));;Maize;iPG228;WW;1
4/DZ_PG_66/ZM4391/WW/1/DIA2017-05-19;Plot;;Polygon ((3.973450149 43.61315919, 3.973480399 43.61314058, 3.973528399 43.61318179, 3.97349815 43.61320039, 3.973450149 43.61315919));;Maize;iPG318;WW;1
5/DZ_PG_20/ZM4344/WW/1/DIA2017-05-19;Plot;;Polygon ((3.973480399 43.61314058, 3.973510648 43.61312198, 3.973558649 43.61316319, 3.973528399 43.61318179, 3.973480399 43.61314058));;Maize;iPG119;WW;1
6/DKC4590/XXXX/WW/1/DIA2017-05-19;Plot;;Polygon ((3.973510648 43.61312198, 3.973540897 43.61310338, 3.973588898 43.61314459, 3.973558649 43.61316319, 3.973510648 43.61312198));;Maize;DKC4590;WW;1
7/DKC4590/XXXX/WW/1/DIA2017-05-19;Plot;;Polygon ((3.973540897 43.61310338, 3.973571147 43.61308478, 3.973619147 43.61312599, 3.973588898 43.61314459, 3.973540897 43.61310338));;Maize;DKC4590;WW;1
8/DZ_PG_02/ZM4356/WW/1/DIA2017-05-19;Plot;;Polygon ((3.973571147 43.61308478, 3.973601396 43.61306618, 3.973649396 43.61310739, 3.973619147 43.61312599, 3.973571147 43.61308478));;Maize;iPG007;WW;1
9/DZ_PG_16/ZM4359/WW/1/DIA2017-05-19;Plot;;Polygon ((3.973601396 43.61306618, 3.973631645 43.61304758, 3.973679645 43.61308879, 3.973649396 43.61310739, 3.973601396 43.61306618));;Maize;iPG109;WW;1
10/DZ_PG_48/ZM4421/WW/1/DIA2017-05-19;Plot;;Polygon ((3.973631645 43.61304758, 3.973661894 43.61302898, 3.973709895 43.61307019, 3.973679645 43.61308879, 3.973631645 43.61304758));;Maize;iPG216;WW;1
11/DZ_PG_25/ZM4382/WW/1/DIA2017-05-19;Plot;;Polygon ((3.973661894 43.61302898, 3.973692143 43.61301038, 3.973740144 43.61305159, 3.973709895 43.61307019, 3.973661894 43.61302898));;Maize;iPG136;WW;1
12/DZ_PG_10/ZM4365/WW/1/DIA2017-05-19;Plot;;Polygon ((3.973692143 43.61301038, 3.973722392 43.61299178, 3.973770393 43.61303299, 3.973740144 43.61305159, 3.973692143 43.61301038));;Maize;iPG073;WW;1
13/DZ_PG_24/ZM4342/WW/1/DIA2017-05-19;Plot;;Polygon ((3.973722392 43.61299178, 3.973752641 43.61297318, 3.973800642 43.61301439, 3.973770393 43.61303299, 3.973722392 43.61299178));;Maize;iPG131;WW;1
14/DZ_PG_22/ZM4349/WW/1/DIA2017-05-19;Plot;;Polygon ((3.973674392 43.61295057, 3.973704641 43.61293197, 3.973752641 43.61297318, 3.973722392 43.61299178, 3.973674392 43.61295057));;Maize;iPG121;WW;1
15/DZ_PG_54/ZM4346/WW/1/DIA2017-05-19;Plot;;Polygon ((3.973644143 43.61296917, 3.973674392 43.61295057, 3.973722392 43.61299178, 3.973692143 43.61301038, 3.973644143 43.61296917));;Maize;iPG116;WW;1
16/DZ_PG_62/ZM4393/WW/1/DIA2017-05-19;Plot;;Polygon ((3.973613894 43.61298777, 3.973644143 43.61296917, 3.973692143 43.61301038, 3.973661894 43.61302898, 3.973613894 43.61298777));;Maize;iPG303;WW;1
17/DZ_PG_37/ZM4364/WW/1/DIA2017-05-19;Plot;;Polygon ((3.973583644 43.61300637, 3.973613894 43.61298777, 3.973661894 43.61302898, 3.973631645 43.61304758, 3.973583644 43.61300637));;Maize;iPG167;WW;1
18/DZ_PG_53/ZM4345/WW/1/DIA2017-05-19;Plot;;Polygon ((3.973553395 43.61302497, 3.973583644 43.61300637, 3.973631645 43.61304758, 3.973601396 43.61306618, 3.973553395 43.61302497));;Maize;iPG190;WW;1
19/DZ_PG_69/ZM4396/WW/1/DIA2017-05-19;Plot;;Polygon ((3.973523146 43.61304357, 3.973553395 43.61302497, 3.973601396 43.61306618, 3.973571147 43.61308478, 3.973523146 43.61304357));;Maize;iPG312;WW;1
20/DKC4590/XXXX/WW/1/DIA2017-05-19;Plot;;Polygon ((3.973492897 43.61306217, 3.973523146 43.61304357, 3.973571147 43.61308478, 3.973540897 43.61310338, 3.973492897 43.61306217));;Maize;DKC4590;WW;1
21/DZ_PG_26/ZM4387/WW/1/DIA2017-05-19;Plot;;Polygon ((3.973462648 43.61308078, 3.973492897 43.61306217, 3.973540897 43.61310338, 3.973510648 43.61312198, 3.973462648 43.61308078));;Maize;iPG138;WW;1
22/DZ_PG_50/ZM4363/WW/1/DIA2017-05-19;Plot;;Polygon ((3.973432398 43.61309938, 3.973462648 43.61308078, 3.973510648 43.61312198, 3.973480399 43.61314058, 3.973432398 43.61309938));;Maize;iPG233;WW;1
23/DZ_PG_08/ZM4343/WW/1/DIA2017-05-19;Plot;;Polygon ((3.973402149 43.61311798, 3.973432398 43.61309938, 3.973480399 43.61314058, 3.973450149 43.61315919, 3.973402149 43.61311798));;Maize;iPG063;WW;1
24/DZ_PG_19/ZM4367/WW/1/DIA2017-05-19;Plot;;Polygon ((3.9733719 43.61313658, 3.973402149 43.61311798, 3.973450149 43.61315919, 3.9734199 43.61317779, 3.9733719 43.61313658));;Maize;iPG117;WW;1
25/DZ_PG_51/ZM4350/WW/1/DIA2017-05-19;Plot;;Polygon ((3.97334165 43.61315518, 3.9733719 43.61313658, 3.9734199 43.61317779, 3.973389651 43.61319639, 3.97334165 43.61315518));;Maize;iPG234;WW;1
26/DZ_PG_12/ZM1304_lot1/WW/1/DIA2017-05-19;Plot;;Polygon ((3.973311401 43.61317378, 3.97334165 43.61315518, 3.973389651 43.61319639, 3.973359402 43.61321499, 3.973311401 43.61317378));;Maize;iPG082;WW;1
27/DZ_PG_74/ZM4397/WW/1/DIA2017-05-19;Plot;;Polygon ((3.973263401 43.61313257, 3.97329365 43.61311397, 3.97334165 43.61315518, 3.973311401 43.61317378, 3.973263401 43.61313257));;Maize;iPG313;WW;1
28/DZ_PG_72/ZM4398/WW/1/DIA2017-05-19;Plot;;Polygon ((3.97329365 43.61311397, 3.973323899 43.61309537, 3.9733719 43.61313658, 3.97334165 43.61315518, 3.97329365 43.61311397));;Maize;iPG314;WW;1
29/DZ_PG_47/ZM4362/WW/1/DIA2017-05-19;Plot;;Polygon ((3.973323899 43.61309537, 3.973354149 43.61307677, 3.973402149 43.61311798, 3.9733719 43.61313658, 3.973323899 43.61309537));;Maize;iPG202;WW;1
30/DZ_PG_04/ZM4366/WW/1/DIA2017-05-19;Plot;;Polygon ((3.973354149 43.61307677, 3.973384398 43.61305817, 3.973432398 43.61309938, 3.973402149 43.61311798, 3.973354149 43.61307677));;Maize;iPG321;WW;1
31/DZ_PG_62/ZM4393/WW/1/DIA2017-05-19;Plot;;Polygon ((3.973384398 43.61305817, 3.973414647 43.61303957, 3.973462648 43.61308078, 3.973432398 43.61309938, 3.973384398 43.61305817));;Maize;iPG303;WW;1
32/DZ_PG_03/ZM4377/WW/1/DIA2017-05-19;Plot;;Polygon ((3.973414647 43.61303957, 3.973444896 43.61302097, 3.973492897 43.61306217, 3.973462648 43.61308078, 3.973414647 43.61303957));;Maize;iPG017;WW;1
33/DZ_PG_40/ZM4390/WW/1/DIA2017-05-19;Plot;;Polygon ((3.973444896 43.61302097, 3.973475146 43.61300237, 3.973523146 43.61304357, 3.973492897 43.61306217, 3.973444896 43.61302097));;Maize;iPG176;WW;1
34/DZ_PG_14/ZM4375/WW/1/DIA2017-05-19;Plot;;Polygon ((3.973475146 43.61300237, 3.973505395 43.61298376, 3.973553395 43.61302497, 3.973523146 43.61304357, 3.973475146 43.61300237));;Maize;iPG101;WW;1
35/DZ_PG_33/ZM4353/WW/1/DIA2017-05-19;Plot;;Polygon ((3.973505395 43.61298376, 3.973535644 43.61296516, 3.973583644 43.61300637, 3.973553395 43.61302497, 3.973505395 43.61298376));;Maize;iPG158;WW;1
36/DZ_PG_17/ZM4348/WW/1/DIA2017-05-19;Plot;;Polygon ((3.973535644 43.61296516, 3.973565893 43.61294656, 3.973613894 43.61298777, 3.973583644 43.61300637, 3.973535644 43.61296516));;Maize;iPG110;WW;1
37/DZ_PG_43/ZM4380/WW/1/DIA2017-05-19;Plot;;Polygon ((3.973565893 43.61294656, 3.973596142 43.61292796, 3.973644143 43.61296917, 3.973613894 43.61298777, 3.973565893 43.61294656));;Maize;iPG188;WW;1
38/DZ_PG_21/ZM4360/WW/1/DIA2017-05-19;Plot;;Polygon ((3.973596142 43.61292796, 3.973626391 43.61290936, 3.973674392 43.61295057, 3.973644143 43.61296917, 3.973596142 43.61292796));;Maize;iPG120;WW;1
39/DZ_PG_23/ZM4388/WW/1/DIA2017-05-19;Plot;;Polygon ((3.973626391 43.61290936, 3.97365664 43.61289076, 3.973704641 43.61293197, 3.973674392 43.61295057, 3.973626391 43.61290936));;Maize;iPG128;WW;1
40/DZ_PG_09/ZM4368/WW/1/DIA2017-05-19;Plot;;Polygon ((3.973578391 43.61286815, 3.97360864 43.61284955, 3.97365664 43.61289076, 3.973626391 43.61290936, 3.973578391 43.61286815));;Maize;iPG066;WW;1
41/DZ_PG_01/ZM4381/WW/1/DIA2017-05-19;Plot;;Polygon ((3.973548142 43.61288675, 3.973578391 43.61286815, 3.973626391 43.61290936, 3.973596142 43.61292796, 3.973548142 43.61288675));;Maize;iPG004;WW;1
42/DZ_PG_68/ZM4395/WW/1/DIA2017-05-19;Plot;;Polygon ((3.973517893 43.61290535, 3.973548142 43.61288675, 3.973596142 43.61292796, 3.973565893 43.61294656, 3.973517893 43.61290535));;Maize;iPG311;WW;1
43/DZ_PG_39/ZM4371/WW/1/DIA2017-05-19;Plot;;Polygon ((3.973487644 43.61292396, 3.973517893 43.61290535, 3.973565893 43.61294656, 3.973535644 43.61296516, 3.973487644 43.61292396));;Maize;iPG173;WW;1
44/DZ_PG_34/ZM4384/WW/1/DIA2017-05-19;Plot;;Polygon ((3.973457394 43.61294256, 3.973487644 43.61292396, 3.973535644 43.61296516, 3.973505395 43.61298376, 3.973457394 43.61294256));;Maize;iPG159;WW;1
45/DKC4590/XXXX/WW/1/DIA2017-05-19;Plot;;Polygon ((3.973427145 43.61296116, 3.973457394 43.61294256, 3.973505395 43.61298376, 3.973475146 43.61300237, 3.973427145 43.61296116));;Maize;DKC4590;WW;1
46/DKC4590/XXXX/WW/1/DIA2017-05-19;Plot;;Polygon ((3.973396896 43.61297976, 3.973427145 43.61296116, 3.973475146 43.61300237, 3.973444896 43.61302097, 3.973396896 43.61297976));;Maize;DKC4590;WW;1
47/DZ_PG_36/ZM4372/WW/1/DIA2017-05-19;Plot;;Polygon ((3.973366647 43.61299836, 3.973396896 43.61297976, 3.973444896 43.61302097, 3.973414647 43.61303957, 3.973366647 43.61299836));;Maize;iPG165;WW;1
48/DZ_PG_41/ZM4378/WW/1/DIA2017-05-19;Plot;;Polygon ((3.973336398 43.61301696, 3.973366647 43.61299836, 3.973414647 43.61303957, 3.973384398 43.61305817, 3.973336398 43.61301696));;Maize;iPG181;WW;1
49/DZ_PG_07/ZM4351/WW/1/DIA2017-05-19;Plot;;Polygon ((3.973306148 43.61303556, 3.973336398 43.61301696, 3.973384398 43.61305817, 3.973354149 43.61307677, 3.973306148 43.61303556));;Maize;iPG062;WW;1
50/DZ_PG_62/ZM4393/WW/1/DIA2017-05-19;Plot;;Polygon ((3.973275899 43.61305416, 3.973306148 43.61303556, 3.973354149 43.61307677, 3.973323899 43.61309537, 3.973275899 43.61305416));;Maize;iPG303;WW;1
51/DZ_PG_52/ZM4370/WW/1/DIA2017-05-19;Plot;;Polygon ((3.97324565 43.61307276, 3.973275899 43.61305416, 3.973323899 43.61309537, 3.97329365 43.61311397, 3.97324565 43.61307276));;Maize;iPG239;WW;1
52/DZ_PG_55/ZM4355/WW/1/DIA2017-05-19;Plot;;Polygon ((3.9732154 43.61309136, 3.97324565 43.61307276, 3.97329365 43.61311397, 3.973263401 43.61313257, 3.9732154 43.61309136));;Maize;iPG146;WW;1
53/DZ_PG_13/ZM4379/WW/1/DIA2017-05-19;Plot;;Polygon ((3.9731674 43.61305015, 3.973197649 43.61303155, 3.97324565 43.61307276, 3.9732154 43.61309136, 3.9731674 43.61305015));;Maize;iPG089;WW;1
54/DZ_PG_45/ZM4385/WW/1/DIA2017-05-19;Plot;;Polygon ((3.973197649 43.61303155, 3.973227899 43.61301295, 3.973275899 43.61305416, 3.97324565 43.61307276, 3.973197649 43.61303155));;Maize;iPG194;WW;1
55/DZ_PG_11/ZM4386/WW/1/DIA2017-05-19;Plot;;Polygon ((3.973227899 43.61301295, 3.973258148 43.61299435, 3.973306148 43.61303556, 3.973275899 43.61305416, 3.973227899 43.61301295));;Maize;iPG077;WW;1
56/DZ_PG_05/ZM4357/WW/1/DIA2017-05-19;Plot;;Polygon ((3.973258148 43.61299435, 3.973288397 43.61297575, 3.973336398 43.61301696, 3.973306148 43.61303556, 3.973258148 43.61299435));;Maize;iPG026;WW;1
57/DZ_PG_27/ZM4354/WW/1/DIA2017-05-19;Plot;;Polygon ((3.973288397 43.61297575, 3.973318647 43.61295715, 3.973366647 43.61299836, 3.973336398 43.61301696, 3.973288397 43.61297575));;Maize;iPG103;WW;1
58/DZ_PG_35/ZM4358/WW/1/DIA2017-05-19;Plot;;Polygon ((3.973318647 43.61295715, 3.973348896 43.61293855, 3.973396896 43.61297976, 3.973366647 43.61299836, 3.973318647 43.61295715));;Maize;iPG164;WW;1
59/DZ_PG_44/ZM4369/WW/1/DIA2017-05-19;Plot;;Polygon ((3.973348896 43.61293855, 3.973379145 43.61291995, 3.973427145 43.61296116, 3.973396896 43.61297976, 3.973348896 43.61293855));;Maize;iPG189;WW;1
60/DZ_PG_32/ZM4352/WW/1/DIA2017-05-19;Plot;;Polygon ((3.973379145 43.61291995, 3.973409394 43.61290135, 3.973457394 43.61294256, 3.973427145 43.61296116, 3.973379145 43.61291995));;Maize;iPG155;WW;1
61/DZ_PG_31/ZM4347/WW/1/DIA2017-05-19;Plot;;Polygon ((3.973409394 43.61290135, 3.973439643 43.61288275, 3.973487644 43.61292396, 3.973457394 43.61294256, 3.973409394 43.61290135));;Maize;iPG153;WW;1
62/DZ_PG_63/ZM4392/WW/1/DIA2017-05-19;Plot;;Polygon ((3.973439643 43.61288275, 3.973469892 43.61286415, 3.973517893 43.61290535, 3.973487644 43.61292396, 3.973439643 43.61288275));;Maize;iPG304;WW;1
63/DZ_PG_06/ZM4376/WW/1/DIA2017-05-19;Plot;;Polygon ((3.973469892 43.61286415, 3.973500142 43.61284555, 3.973548142 43.61288675, 3.973517893 43.61290535, 3.973469892 43.61286415));;Maize;iPG029;WW;1
64/DZ_PG_67/ZM4394/WW/1/DIA2017-05-19;Plot;;Polygon ((3.973500142 43.61284555, 3.973530391 43.61282694, 3.973578391 43.61286815, 3.973548142 43.61288675, 3.973500142 43.61284555));;Maize;iPG310;WW;1
65/DZ_PG_46/ZM4374/WW/1/DIA2017-05-19;Plot;;Polygon ((3.973530391 43.61282694, 3.97356064 43.61280834, 3.97360864 43.61284955, 3.973578391 43.61286815, 3.973530391 43.61282694));;Maize;iPG195;WW;1
66/DZ_PG_26/ZM4387/WW/2/DIA2017-05-19;Plot;;Polygon ((3.973813165 43.61293598, 3.973843415 43.61291738, 3.973891412 43.61295859, 3.973861162 43.61297719, 3.973813165 43.61293598));;Maize;iPG138;WW;2
67/DZ_PG_55/ZM4355/WW/2/DIA2017-05-19;Plot;;Polygon ((3.973843415 43.61291738, 3.973873665 43.61289878, 3.973921663 43.61293999, 3.973891412 43.61295859, 3.973843415 43.61291738));;Maize;iPG146;WW;2
68/DZ_PG_03/ZM4377/WW/2/DIA2017-05-19;Plot;;Polygon ((3.973873665 43.61289878, 3.973903916 43.61288018, 3.973951913 43.61292139, 3.973921663 43.61293999, 3.973873665 43.61289878));;Maize;iPG017;WW;2
69/DZ_PG_32/ZM4352/WW/2/DIA2017-05-19;Plot;;Polygon ((3.973903916 43.61288018, 3.973934166 43.61286158, 3.973982164 43.61290279, 3.973951913 43.61292139, 3.973903916 43.61288018));;Maize;iPG155;WW;2
70/DZ_PG_43/ZM4380/WW/2/DIA2017-05-19;Plot;;Polygon ((3.973934166 43.61286158, 3.973964417 43.61284298, 3.974012414 43.61288419, 3.973982164 43.61290279, 3.973934166 43.61286158));;Maize;iPG188;WW;2
71/DZ_PG_12/ZM1304_lot1/WW/2/DIA2017-05-19;Plot;;Polygon ((3.973964417 43.61284298, 3.973994667 43.61282438, 3.974042665 43.61286559, 3.974012414 43.61288419, 3.973964417 43.61284298));;Maize;iPG082;WW;2
72/DZ_PG_39/ZM4371/WW/2/DIA2017-05-19;Plot;;Polygon ((3.973994667 43.61282438, 3.974024917 43.61280578, 3.974072915 43.61284699, 3.974042665 43.61286559, 3.973994667 43.61282438));;Maize;iPG173;WW;2
73/DZ_PG_17/ZM4348/WW/2/DIA2017-05-19;Plot;;Polygon ((3.974024917 43.61280578, 3.974055168 43.61278718, 3.974103165 43.61282839, 3.974072915 43.61284699, 3.974024917 43.61280578));;Maize;iPG110;WW;2
74/DZ_PG_20/ZM4344/WW/2/DIA2017-05-19;Plot;;Polygon ((3.974055168 43.61278718, 3.974085418 43.61276858, 3.974133415 43.61280979, 3.974103165 43.61282839, 3.974055168 43.61278718));;Maize;iPG119;WW;2
75/DZ_PG_69/ZM4396/WW/2/DIA2017-05-19;Plot;;Polygon ((3.974085418 43.61276858, 3.974115668 43.61274998, 3.974163666 43.61279119, 3.974133415 43.61280979, 3.974085418 43.61276858));;Maize;iPG312;WW;2
76/DZ_PG_31/ZM4347/WW/2/DIA2017-05-19;Plot;;Polygon ((3.974115668 43.61274998, 3.974145919 43.61273138, 3.974193916 43.6127726, 3.974163666 43.61279119, 3.974115668 43.61274998));;Maize;iPG153;WW;2
77/DZ_PG_37/ZM4364/WW/2/DIA2017-05-19;Plot;;Polygon ((3.974145919 43.61273138, 3.974176169 43.61271279, 3.974224166 43.612754, 3.974193916 43.6127726, 3.974145919 43.61273138));;Maize;iPG167;WW;2
78/DZ_PG_40/ZM4390/WW/2/DIA2017-05-19;Plot;;Polygon ((3.974176169 43.61271279, 3.974206419 43.61269419, 3.974254417 43.6127354, 3.974224166 43.612754, 3.974176169 43.61271279));;Maize;iPG176;WW;2
79/DZ_PG_50/ZM4363/WW/2/DIA2017-05-19;Plot;;Polygon ((3.974128171 43.61267157, 3.974158422 43.61265298, 3.974206419 43.61269419, 3.974176169 43.61271279, 3.974128171 43.61267157));;Maize;iPG233;WW;2
80/DZ_PG_68/ZM4395/WW/2/DIA2017-05-19;Plot;;Polygon ((3.974097921 43.61269017, 3.974128171 43.61267157, 3.974176169 43.61271279, 3.974145919 43.61273138, 3.974097921 43.61269017));;Maize;iPG311;WW;2
81/DZ_PG_10/ZM4365/WW/2/DIA2017-05-19;Plot;;Polygon ((3.974067671 43.61270877, 3.974097921 43.61269017, 3.974145919 43.61273138, 3.974115668 43.61274998, 3.974067671 43.61270877));;Maize;iPG073;WW;2
82/DZ_PG_54/ZM4346/WW/2/DIA2017-05-19;Plot;;Polygon ((3.974037421 43.61272737, 3.974067671 43.61270877, 3.974115668 43.61274998, 3.974085418 43.61276858, 3.974037421 43.61272737));;Maize;iPG116;WW;2
83/DZ_PG_36/ZM4372/WW/2/DIA2017-05-19;Plot;;Polygon ((3.97400717 43.61274597, 3.974037421 43.61272737, 3.974085418 43.61276858, 3.974055168 43.61278718, 3.97400717 43.61274597));;Maize;iPG165;WW;2
84/DZ_PG_67/ZM4394/WW/2/DIA2017-05-19;Plot;;Polygon ((3.97397692 43.61276457, 3.97400717 43.61274597, 3.974055168 43.61278718, 3.974024917 43.61280578, 3.97397692 43.61276457));;Maize;iPG310;WW;2
85/DKC4590/XXXX/WW/2/DIA2017-05-19;Plot;;Polygon ((3.97394667 43.61278317, 3.97397692 43.61276457, 3.974024917 43.61280578, 3.973994667 43.61282438, 3.97394667 43.61278317));;Maize;DKC4590;WW;2
86/DKC4590/XXXX/WW/2/DIA2017-05-19;Plot;;Polygon ((3.973916419 43.61280177, 3.97394667 43.61278317, 3.973994667 43.61282438, 3.973964417 43.61284298, 3.973916419 43.61280177));;Maize;DKC4590;WW;2
87/DZ_PG_47/ZM4362/WW/2/DIA2017-05-19;Plot;;Polygon ((3.973886169 43.61282037, 3.973916419 43.61280177, 3.973964417 43.61284298, 3.973934166 43.61286158, 3.973886169 43.61282037));;Maize;iPG202;WW;2
88/DZ_PG_67/ZM4394/WW/2/DIA2017-05-19;Plot;;Polygon ((3.973855918 43.61283897, 3.973886169 43.61282037, 3.973934166 43.61286158, 3.973903916 43.61288018, 3.973855918 43.61283897));;Maize;iPG310;WW;2
