Alias;Type;Experiment;Geometry;Parent;Species;Variety;ExperimentModalities;Repetition
89/DZ_PG_22/ZM4349/WW/2/DIA2017-05-19;Plot;;Polygon ((3.973825668 43.61285757, 3.973855918 43.61283897, 3.973903916 43.61288018, 3.973873665 43.61289878, 3.973825668 43.61285757));;Maize;iPG121;WW;2
90/DZ_PG_35/ZM4358/WW/2/DIA2017-05-19;Plot;;Polygon ((3.973795418 43.61287617, 3.973825668 43.61285757, 3.973873665 43.61289878, 3.973843415 43.61291738, 3.973795418 43.61287617));;Maize;iPG164;WW;2
91/DZ_PG_49/ZM4389/WW/2/DIA2017-05-19;Plot;;Polygon ((3.973765167 43.61289477, 3.973795418 43.61287617, 3.973843415 43.61291738, 3.973813165 43.61293598, 3.973765167 43.61289477));;Maize;iPG228;WW;2
92/DZ_PG_53/ZM4345/WW/2/DIA2017-05-19;Plot;;Polygon ((3.97371717 43.61285356, 3.97374742 43.61283496, 3.973795418 43.61287617, 3.973765167 43.61289477, 3.97371717 43.61285356));;Maize;iPG190;WW;2
93/DZ_PG_41/ZM4378/WW/2/DIA2017-05-19;Plot;;Polygon ((3.97374742 43.61283496, 3.973777671 43.61281636, 3.973825668 43.61285757, 3.973795418 43.61287617, 3.97374742 43.61283496));;Maize;iPG181;WW;2
94/DZ_PG_21/ZM4360/WW/2/DIA2017-05-19;Plot;;Polygon ((3.973777671 43.61281636, 3.973807921 43.61279776, 3.973855918 43.61283897, 3.973825668 43.61285757, 3.973777671 43.61281636));;Maize;iPG120;WW;2
95/DZ_PG_51/ZM4350/WW/2/DIA2017-05-19;Plot;;Polygon ((3.973807921 43.61279776, 3.973838171 43.61277916, 3.973886169 43.61282037, 3.973855918 43.61283897, 3.973807921 43.61279776));;Maize;iPG234;WW;2
96/DZ_PG_27/ZM4354/WW/2/DIA2017-05-19;Plot;;Polygon ((3.973838171 43.61277916, 3.973868422 43.61276056, 3.973916419 43.61280177, 3.973886169 43.61282037, 3.973838171 43.61277916));;Maize;iPG103;WW;2
97/DZ_PG_45/ZM4385/WW/2/DIA2017-05-19;Plot;;Polygon ((3.973868422 43.61276056, 3.973898672 43.61274196, 3.97394667 43.61278317, 3.973916419 43.61280177, 3.973868422 43.61276056));;Maize;iPG194;WW;2
98/DKC4590/XXXX/WW/2/DIA2017-05-19;Plot;;Polygon ((3.973898672 43.61274196, 3.973928923 43.61272336, 3.97397692 43.61276457, 3.97394667 43.61278317, 3.973898672 43.61274196));;Maize;DKC4590;WW;2
99/DZ_PG_30/ZM4361/WW/2/DIA2017-05-19;Plot;;Polygon ((3.973928923 43.61272336, 3.973959173 43.61270476, 3.97400717 43.61274597, 3.97397692 43.61276457, 3.973928923 43.61272336));;Maize;iPG152;WW;2
100/DZ_PG_16/ZM4359/WW/2/DIA2017-05-19;Plot;;Polygon ((3.973959173 43.61270476, 3.973989423 43.61268616, 3.974037421 43.61272737, 3.97400717 43.61274597, 3.973959173 43.61270476));;Maize;iPG109;WW;2
101/DZ_PG_11/ZM4386/WW/2/DIA2017-05-19;Plot;;Polygon ((3.973989423 43.61268616, 3.974019673 43.61266756, 3.974067671 43.61270877, 3.974037421 43.61272737, 3.973989423 43.61268616));;Maize;iPG077;WW;2
102/DZ_PG_13/ZM4379/WW/2/DIA2017-05-19;Plot;;Polygon ((3.974019673 43.61266756, 3.974049924 43.61264896, 3.974097921 43.61269017, 3.974067671 43.61270877, 3.974019673 43.61266756));;Maize;iPG089;WW;2
103/DZ_PG_48/ZM4421/WW/2/DIA2017-05-19;Plot;;Polygon ((3.974049924 43.61264896, 3.974080174 43.61263036, 3.974128171 43.61267157, 3.974097921 43.61269017, 3.974049924 43.61264896));;Maize;iPG216;WW;2
104/DZ_PG_14/ZM4375/WW/2/DIA2017-05-19;Plot;;Polygon ((3.974080174 43.61263036, 3.974110424 43.61261176, 3.974158422 43.61265298, 3.974128171 43.61267157, 3.974080174 43.61263036));;Maize;iPG101;WW;2
105/DZ_PG_02/ZM4356/WW/2/DIA2017-05-19;Plot;;Polygon ((3.974032177 43.61258915, 3.974062427 43.61257055, 3.974110424 43.61261176, 3.974080174 43.61263036, 3.974032177 43.61258915));;Maize;iPG007;WW;2
106/DZ_PG_24/ZM4342/WW/2/DIA2017-05-19;Plot;;Polygon ((3.974001926 43.61260775, 3.974032177 43.61258915, 3.974080174 43.61263036, 3.974049924 43.61264896, 3.974001926 43.61260775));;Maize;iPG131;WW;2
107/DZ_PG_52/ZM4370/WW/2/DIA2017-05-19;Plot;;Polygon ((3.973971676 43.61262635, 3.974001926 43.61260775, 3.974049924 43.61264896, 3.974019673 43.61266756, 3.973971676 43.61262635));;Maize;iPG239;WW;2
108/DZ_PG_34/ZM4384/WW/2/DIA2017-05-19;Plot;;Polygon ((3.973941426 43.61264495, 3.973971676 43.61262635, 3.974019673 43.61266756, 3.973989423 43.61268616, 3.973941426 43.61264495));;Maize;iPG159;WW;2
109/DZ_PG_46/ZM4374/WW/2/DIA2017-05-19;Plot;;Polygon ((3.973911176 43.61266355, 3.973941426 43.61264495, 3.973989423 43.61268616, 3.973959173 43.61270476, 3.973911176 43.61266355));;Maize;iPG195;WW;2
110/DKC4590/XXXX/WW/2/DIA2017-05-19;Plot;;Polygon ((3.973880925 43.61268215, 3.973911176 43.61266355, 3.973959173 43.61270476, 3.973928923 43.61272336, 3.973880925 43.61268215));;Maize;DKC4590;WW;2
111/DKC4590/XXXX/WW/2/DIA2017-05-19;Plot;;Polygon ((3.973850675 43.61270075, 3.973880925 43.61268215, 3.973928923 43.61272336, 3.973898672 43.61274196, 3.973850675 43.61270075));;Maize;DKC4590;WW;2
112/DZ_PG_63/ZM4392/WW/2/DIA2017-05-19;Plot;;Polygon ((3.973820425 43.61271935, 3.973850675 43.61270075, 3.973898672 43.61274196, 3.973868422 43.61276056, 3.973820425 43.61271935));;Maize;iPG304;WW;2
113/DZ_PG_06/ZM4376/WW/2/DIA2017-05-19;Plot;;Polygon ((3.973790174 43.61273795, 3.973820425 43.61271935, 3.973868422 43.61276056, 3.973838171 43.61277916, 3.973790174 43.61273795));;Maize;iPG029;WW;2
114/DZ_PG_33/ZM4353/WW/2/DIA2017-05-19;Plot;;Polygon ((3.973759924 43.61275655, 3.973790174 43.61273795, 3.973838171 43.61277916, 3.973807921 43.61279776, 3.973759924 43.61275655));;Maize;iPG158;WW;2
115/DZ_PG_09/ZM4368/WW/2/DIA2017-05-19;Plot;;Polygon ((3.973729673 43.61277515, 3.973759924 43.61275655, 3.973807921 43.61279776, 3.973777671 43.61281636, 3.973729673 43.61277515));;Maize;iPG066;WW;2
116/DZ_PG_08/ZM4343/WW/2/DIA2017-05-19;Plot;;Polygon ((3.973699423 43.61279375, 3.973729673 43.61277515, 3.973777671 43.61281636, 3.97374742 43.61283496, 3.973699423 43.61279375));;Maize;iPG063;WW;2
117/DZ_PG_23/ZM4388/WW/2/DIA2017-05-19;Plot;;Polygon ((3.973669173 43.61281234, 3.973699423 43.61279375, 3.97374742 43.61283496, 3.97371717 43.61285356, 3.973669173 43.61281234));;Maize;iPG128;WW;2
118/DZ_PG_74/ZM4397/WW/2/DIA2017-05-19;Plot;;Polygon ((3.973621175 43.61277113, 3.973651426 43.61275253, 3.973699423 43.61279375, 3.973669173 43.61281234, 3.973621175 43.61277113));;Maize;iPG313;WW;2
119/DZ_PG_62/ZM4393/WW/2/DIA2017-05-19;Plot;;Polygon ((3.973651426 43.61275253, 3.973681676 43.61273393, 3.973729673 43.61277515, 3.973699423 43.61279375, 3.973651426 43.61275253));;Maize;iPG303;WW;2
120/DZ_PG_62/ZM4393/WW/2/DIA2017-05-19;Plot;;Polygon ((3.973681676 43.61273393, 3.973711927 43.61271534, 3.973759924 43.61275655, 3.973729673 43.61277515, 3.973681676 43.61273393));;Maize;iPG303;WW;2
121/DZ_PG_19/ZM4367/WW/2/DIA2017-05-19;Plot;;Polygon ((3.973711927 43.61271534, 3.973742177 43.61269674, 3.973790174 43.61273795, 3.973759924 43.61275655, 3.973711927 43.61271534));;Maize;iPG117;WW;2
122/DZ_PG_72/ZM4398/WW/2/DIA2017-05-19;Plot;;Polygon ((3.973742177 43.61269674, 3.973772427 43.61267814, 3.973820425 43.61271935, 3.973790174 43.61273795, 3.973742177 43.61269674));;Maize;iPG314;WW;2
123/DZ_PG_07/ZM4351/WW/2/DIA2017-05-19;Plot;;Polygon ((3.973772427 43.61267814, 3.973802678 43.61265954, 3.973850675 43.61270075, 3.973820425 43.61271935, 3.973772427 43.61267814));;Maize;iPG062;WW;2
124/DZ_PG_01/ZM4381/WW/2/DIA2017-05-19;Plot;;Polygon ((3.973802678 43.61265954, 3.973832928 43.61264094, 3.973880925 43.61268215, 3.973850675 43.61270075, 3.973802678 43.61265954));;Maize;iPG004;WW;2
125/DZ_PG_44/ZM4369/WW/2/DIA2017-05-19;Plot;;Polygon ((3.973832928 43.61264094, 3.973863178 43.61262234, 3.973911176 43.61266355, 3.973880925 43.61268215, 3.973832928 43.61264094));;Maize;iPG189;WW;2
126/DZ_PG_62/ZM4393/WW/2/DIA2017-05-19;Plot;;Polygon ((3.973863178 43.61262234, 3.973893429 43.61260374, 3.973941426 43.61264495, 3.973911176 43.61266355, 3.973863178 43.61262234));;Maize;iPG303;WW;2
127/DZ_PG_25/ZM4382/WW/2/DIA2017-05-19;Plot;;Polygon ((3.973893429 43.61260374, 3.973923679 43.61258514, 3.973971676 43.61262635, 3.973941426 43.61264495, 3.973893429 43.61260374));;Maize;iPG136;WW;2
128/DZ_PG_04/ZM4366/WW/2/DIA2017-05-19;Plot;;Polygon ((3.973923679 43.61258514, 3.973953929 43.61256654, 3.974001926 43.61260775, 3.973971676 43.61262635, 3.973923679 43.61258514));;Maize;iPG321;WW;2
129/DZ_PG_66/ZM4391/WW/2/DIA2017-05-19;Plot;;Polygon ((3.973953929 43.61256654, 3.973984179 43.61254794, 3.974032177 43.61258915, 3.974001926 43.61260775, 3.973953929 43.61256654));;Maize;iPG318;WW;2
130/DZ_PG_05/ZM4357/WW/2/DIA2017-05-19;Plot;;Polygon ((3.973984179 43.61254794, 3.974014429 43.61252934, 3.974062427 43.61257055, 3.974032177 43.61258915, 3.973984179 43.61254794));;Maize;iPG026;WW;2
131/DZ_PG_40/ZM4390/WD1/1/DIA2017-05-19;Plot;;Polygon ((3.972873 43.61284, 3.972903 43.61282, 3.972951 43.61286, 3.972921 43.61288, 3.972873 43.61284));;Maize;iPG176;WD1;1
132/DZ_PG_33/ZM4353/WD1/1/DIA2017-05-19;Plot;;Polygon ((3.972903 43.61282, 3.972934 43.6128, 3.972982 43.61285, 3.972951 43.61286, 3.972903 43.61282));;Maize;iPG158;WD1;1
133/DZ_PG_12/ZM1304_lot1/WD1/1/DIA2017-05-19;Plot;;Polygon ((3.972934 43.6128, 3.972964 43.61279, 3.973012 43.61283, 3.972982 43.61285, 3.972934 43.6128));;Maize;iPG082;WD1;1
134/DZ_PG_53/ZM4345/WD1/1/DIA2017-05-19;Plot;;Polygon ((3.972964 43.61279, 3.972994 43.61277, 3.973042 43.61281, 3.973012 43.61283, 3.972964 43.61279));;Maize;iPG190;WD1;1
135/DZ_PG_48/ZM4421/WD1/1/DIA2017-05-19;Plot;;Polygon ((3.972994 43.61277, 3.973024 43.61275, 3.973072 43.61279, 3.973042 43.61281, 3.972994 43.61277));;Maize;iPG216;WD1;1
136/DZ_PG_72/ZM4398/WD1/1/DIA2017-05-19;Plot;;Polygon ((3.973024 43.61275, 3.973055 43.61273, 3.973103 43.61277, 3.973072 43.61279, 3.973024 43.61275));;Maize;iPG314;WD1;1
137/DZ_PG_09/ZM4368/WD1/1/DIA2017-05-19;Plot;;Polygon ((3.973055 43.61273, 3.973085 43.61271, 3.973133 43.61275, 3.973103 43.61277, 3.973055 43.61273));;Maize;iPG066;WD1;1
138/DZ_PG_31/ZM4347/WD1/1/DIA2017-05-19;Plot;;Polygon ((3.973085 43.61271, 3.973115 43.61269, 3.973163 43.61273, 3.973133 43.61275, 3.973085 43.61271));;Maize;iPG153;WD1;1
139/DZ_PG_74/ZM4397/WD1/1/DIA2017-05-19;Plot;;Polygon ((3.973115 43.61269, 3.973145 43.61267, 3.973193 43.61272, 3.973163 43.61273, 3.973115 43.61269));;Maize;iPG313;WD1;1
140/DZ_PG_22/ZM4349/WD1/1/DIA2017-05-19;Plot;;Polygon ((3.973145 43.61267, 3.973176 43.61266, 3.973224 43.6127, 3.973193 43.61272, 3.973145 43.61267));;Maize;iPG121;WD1;1
141/DZ_PG_01/ZM4381/WD1/1/DIA2017-05-19;Plot;;Polygon ((3.973176 43.61266, 3.973206 43.61264, 3.973254 43.61268, 3.973224 43.6127, 3.973176 43.61266));;Maize;iPG004;WD1;1
142/DZ_PG_27/ZM4354/WD1/1/DIA2017-05-19;Plot;;Polygon ((3.973206 43.61264, 3.973236 43.61262, 3.973284 43.61266, 3.973254 43.61268, 3.973206 43.61264));;Maize;iPG103;WD1;1
143/DZ_PG_46/ZM4374/WD1/1/DIA2017-05-19;Plot;;Polygon ((3.973236 43.61262, 3.973266 43.6126, 3.973314 43.61264, 3.973284 43.61266, 3.973236 43.61262));;Maize;iPG195;WD1;1
144/DZ_PG_25/ZM4382/WD1/1/DIA2017-05-19;Plot;;Polygon ((3.973188 43.61258, 3.973218 43.61256, 3.973266 43.6126, 3.973236 43.61262, 3.973188 43.61258));;Maize;iPG136;WD1;1
145/DZ_PG_55/ZM4355/WD1/1/DIA2017-05-19;Plot;;Polygon ((3.973158 43.6126, 3.973188 43.61258, 3.973236 43.61262, 3.973206 43.61264, 3.973158 43.6126));;Maize;iPG146;WD1;1
146/DZ_PG_10/ZM4365/WD1/1/DIA2017-05-19;Plot;;Polygon ((3.973128 43.61261, 3.973158 43.6126, 3.973206 43.61264, 3.973176 43.61266, 3.973128 43.61261));;Maize;iPG073;WD1;1
147/DZ_PG_21/ZM4360/WD1/1/DIA2017-05-19;Plot;;Polygon ((3.973097 43.61263, 3.973128 43.61261, 3.973176 43.61266, 3.973145 43.61267, 3.973097 43.61263));;Maize;iPG120;WD1;1
148/DZ_PG_34/ZM4384/WD1/1/DIA2017-05-19;Plot;;Polygon ((3.973067 43.61265, 3.973097 43.61263, 3.973145 43.61267, 3.973115 43.61269, 3.973067 43.61265));;Maize;iPG159;WD1;1
149/DZ_PG_62/ZM4393/WD1/1/DIA2017-05-19;Plot;;Polygon ((3.973037 43.61267, 3.973067 43.61265, 3.973115 43.61269, 3.973085 43.61271, 3.973037 43.61267));;Maize;iPG303;WD1;1
150/DKC4590/XXXX/WD1/1/DIA2017-05-19;Plot;;Polygon ((3.973007 43.61269, 3.973037 43.61267, 3.973085 43.61271, 3.973055 43.61273, 3.973007 43.61269));;Maize;DKC4590;WD1;1
151/DKC4590/XXXX/WD1/1/DIA2017-05-19;Plot;;Polygon ((3.972976 43.61271, 3.973007 43.61269, 3.973055 43.61273, 3.973024 43.61275, 3.972976 43.61271));;Maize;DKC4590;WD1;1
152/DZ_PG_13/ZM4379/WD1/1/DIA2017-05-19;Plot;;Polygon ((3.972946 43.61273, 3.972976 43.61271, 3.973024 43.61275, 3.972994 43.61277, 3.972946 43.61273));;Maize;iPG089;WD1;1
153/DZ_PG_11/ZM4386/WD1/1/DIA2017-05-19;Plot;;Polygon ((3.972916 43.61275, 3.972946 43.61273, 3.972994 43.61277, 3.972964 43.61279, 3.972916 43.61275));;Maize;iPG077;WD1;1
154/DZ_PG_47/ZM4362/WD1/1/DIA2017-05-19;Plot;;Polygon ((3.972886 43.61276, 3.972916 43.61275, 3.972964 43.61279, 3.972934 43.6128, 3.972886 43.61276));;Maize;iPG202;WD1;1
155/DZ_PG_43/ZM4380/WD1/1/DIA2017-05-19;Plot;;Polygon ((3.972855 43.61278, 3.972886 43.61276, 3.972934 43.6128, 3.972903 43.61282, 3.972855 43.61278));;Maize;iPG188;WD1;1
156/DZ_PG_50/ZM4363/WD1/1/DIA2017-05-19;Plot;;Polygon ((3.972825 43.6128, 3.972855 43.61278, 3.972903 43.61282, 3.972873 43.61284, 3.972825 43.6128));;Maize;iPG233;WD1;1
157/DZ_PG_68/ZM4395/WD1/1/DIA2017-05-19;Plot;;Polygon ((3.972777 43.61276, 3.972807 43.61274, 3.972855 43.61278, 3.972825 43.6128, 3.972777 43.61276));;Maize;iPG311;WD1;1
158/DZ_PG_06/ZM4376/WD1/1/DIA2017-05-19;Plot;;Polygon ((3.972807 43.61274, 3.972838 43.61272, 3.972886 43.61276, 3.972855 43.61278, 3.972807 43.61274));;Maize;iPG029;WD1;1
159/DZ_PG_66/ZM4391/WD1/1/DIA2017-05-19;Plot;;Polygon ((3.972838 43.61272, 3.972868 43.6127, 3.972916 43.61275, 3.972886 43.61276, 3.972838 43.61272));;Maize;iPG318;WD1;1
160/DZ_PG_16/ZM4359/WD1/1/DIA2017-05-19;Plot;;Polygon ((3.972868 43.6127, 3.972898 43.61269, 3.972946 43.61273, 3.972916 43.61275, 3.972868 43.6127));;Maize;iPG109;WD1;1
161/DZ_PG_52/ZM4370/WD1/1/DIA2017-05-19;Plot;;Polygon ((3.972898 43.61269, 3.972928 43.61267, 3.972976 43.61271, 3.972946 43.61273, 3.972898 43.61269));;Maize;iPG239;WD1;1
162/DZ_PG_19/ZM4367/WD1/1/DIA2017-05-19;Plot;;Polygon ((3.972928 43.61267, 3.972959 43.61265, 3.973007 43.61269, 3.972976 43.61271, 3.972928 43.61267));;Maize;iPG117;WD1;1
163/DKC4590/XXXX/WD1/1/DIA2017-05-19;Plot;;Polygon ((3.972959 43.61265, 3.972989 43.61263, 3.973037 43.61267, 3.973007 43.61269, 3.972959 43.61265));;Maize;DKC4590;WD1;1
164/DZ_PG_17/ZM4348/WD1/1/DIA2017-05-19;Plot;;Polygon ((3.972989 43.61263, 3.973019 43.61261, 3.973067 43.61265, 3.973037 43.61267, 3.972989 43.61263));;Maize;iPG110;WD1;1
165/DZ_PG_62/ZM4393/WD1/1/DIA2017-05-19;Plot;;Polygon ((3.973019 43.61261, 3.973049 43.61259, 3.973097 43.61263, 3.973067 43.61265, 3.973019 43.61261));;Maize;iPG303;WD1;1
166/DZ_PG_02/ZM4356/WD1/1/DIA2017-05-19;Plot;;Polygon ((3.973049 43.61259, 3.97308 43.61257, 3.973128 43.61261, 3.973097 43.61263, 3.973049 43.61259));;Maize;iPG007;WD1;1
167/DZ_PG_26/ZM4387/WD1/1/DIA2017-05-19;Plot;;Polygon ((3.97308 43.61257, 3.97311 43.61256, 3.973158 43.6126, 3.973128 43.61261, 3.97308 43.61257));;Maize;iPG138;WD1;1
168/DZ_PG_51/ZM4350/WD1/1/DIA2017-05-19;Plot;;Polygon ((3.97311 43.61256, 3.97314 43.61254, 3.973188 43.61258, 3.973158 43.6126, 3.97311 43.61256));;Maize;iPG234;WD1;1
169/DZ_PG_35/ZM4358/WD1/1/DIA2017-05-19;Plot;;Polygon ((3.97314 43.61254, 3.97317 43.61252, 3.973218 43.61256, 3.973188 43.61258, 3.97314 43.61254));;Maize;iPG164;WD1;1
170/DZ_PG_37/ZM4364/WD1/1/DIA2017-05-19;Plot;;Polygon ((3.973092 43.6125, 3.973122 43.61248, 3.97317 43.61252, 3.97314 43.61254, 3.973092 43.6125));;Maize;iPG167;WD1;1
171/DZ_PG_03/ZM4377/WD1/1/DIA2017-05-19;Plot;;Polygon ((3.973062 43.61251, 3.973092 43.6125, 3.97314 43.61254, 3.97311 43.61256, 3.973062 43.61251));;Maize;iPG017;WD1;1
172/DZ_PG_08/ZM4343/WD1/1/DIA2017-05-19;Plot;;Polygon ((3.973032 43.61253, 3.973062 43.61251, 3.97311 43.61256, 3.97308 43.61257, 3.973032 43.61253));;Maize;iPG063;WD1;1
173/DZ_PG_62/ZM4393/WD1/1/DIA2017-05-19;Plot;;Polygon ((3.973001 43.61255, 3.973032 43.61253, 3.97308 43.61257, 3.973049 43.61259, 3.973001 43.61255));;Maize;iPG303;WD1;1
174/DZ_PG_05/ZM4357/WD1/1/DIA2017-05-19;Plot;;Polygon ((3.972971 43.61257, 3.973001 43.61255, 3.973049 43.61259, 3.973019 43.61261, 3.972971 43.61257));;Maize;iPG026;WD1;1
175/DKC4590/XXXX/WD1/1/DIA2017-05-19;Plot;;Polygon ((3.972941 43.61259, 3.972971 43.61257, 3.973019 43.61261, 3.972989 43.61263, 3.972941 43.61259));;Maize;DKC4590;WD1;1
176/DKC4590/XXXX/WD1/1/DIA2017-05-19;Plot;;Polygon ((3.972911 43.61261, 3.972941 43.61259, 3.972989 43.61263, 3.972959 43.61265, 3.972911 43.61261));;Maize;DKC4590;WD1;1
177/DZ_PG_23/ZM4388/WD1/1/DIA2017-05-19;Plot;;Polygon ((3.97288 43.61263, 3.972911 43.61261, 3.972959 43.61265, 3.972928 43.61267, 3.97288 43.61263));;Maize;iPG128;WD1;1
178/DZ_PG_30/ZM4361/WD1/1/DIA2017-05-19;Plot;;Polygon ((3.97285 43.61264, 3.97288 43.61263, 3.972928 43.61267, 3.972898 43.61269, 3.97285 43.61264));;Maize;iPG152;WD1;1
179/DZ_PG_69/ZM4396/WD1/1/DIA2017-05-19;Plot;;Polygon ((3.97282 43.61266, 3.97285 43.61264, 3.972898 43.61269, 3.972868 43.6127, 3.97282 43.61266));;Maize;iPG312;WD1;1
180/DZ_PG_49/ZM4389/WD1/1/DIA2017-05-19;Plot;;Polygon ((3.97279 43.61268, 3.97282 43.61266, 3.972868 43.6127, 3.972838 43.61272, 3.97279 43.61268));;Maize;iPG228;WD1;1
181/DZ_PG_45/ZM4385/WD1/1/DIA2017-05-19;Plot;;Polygon ((3.972759 43.6127, 3.97279 43.61268, 3.972838 43.61272, 3.972807 43.61274, 3.972759 43.6127));;Maize;iPG194;WD1;1
182/DZ_PG_67/ZM4394/WD1/1/DIA2017-05-19;Plot;;Polygon ((3.972729 43.61272, 3.972759 43.6127, 3.972807 43.61274, 3.972777 43.61276, 3.972729 43.61272));;Maize;iPG310;WD1;1
183/DZ_PG_45/ZM4385/WD1/1/DIA2017-05-19;Plot;;Polygon ((3.972681 43.61268, 3.972711 43.61266, 3.972759 43.6127, 3.972729 43.61272, 3.972681 43.61268));;Maize;iPG194;WD1;1
184/DZ_PG_41/ZM4378/WD1/1/DIA2017-05-19;Plot;;Polygon ((3.972711 43.61266, 3.972742 43.61264, 3.97279 43.61268, 3.972759 43.6127, 3.972711 43.61266));;Maize;iPG181;WD1;1
