Alias,Type,Experiment,Species,Variety,ExperimentModalities,Repetition
198/DZ_PG_31/ZM4347/WD1/2/DIA2017-05-19,Plant,DIA2017,Maize,iPG153,WD1,2
199/DZ_PG_35/ZM4358/WD1/2/DIA2017-05-19,Plant,DIA2017,Maize,iPG164,WD1,2
200/DZ_PG_17/ZM4348/WD1/2/DIA2017-05-19,Plant,DIA2017,Maize,iPG110,WD1,2
201/DZ_PG_24/ZM4342/WD1/2/DIA2017-05-19,Plant,DIA2017,Maize,iPG131,WD1,2
202/DZ_PG_34/ZM4384/WD1/2/DIA2017-05-19,Plant,DIA2017,Maize,iPG159,WD1,2
203/DZ_PG_50/ZM4363/WD1/2/DIA2017-05-19,Plant,DIA2017,Maize,iPG233,WD1,2
204/DZ_PG_04/ZM4366/WD1/2/DIA2017-05-19,Plant,DIA2017,Maize,iPG321,WD1,2
205/DZ_PG_49/ZM4389/WD1/2/DIA2017-05-19,Plant,DIA2017,Maize,iPG228,WD1,2
206/DZ_PG_21/ZM4360/WD1/2/DIA2017-05-19,Plant,DIA2017,Maize,iPG120,WD1,2
207/DZ_PG_69/ZM4396/WD1/2/DIA2017-05-19,Plant,DIA2017,Maize,iPG312,WD1,2
208/DZ_PG_62/ZM4393/WD1/2/DIA2017-05-19,Plant,DIA2017,Maize,iPG303,WD1,2
209/DZ_PG_63/ZM4392/WD1/2/DIA2017-05-19,Plant,DIA2017,Maize,iPG304,WD1,2
210/DZ_PG_01/ZM4381/WD1/2/DIA2017-05-19,Plant,DIA2017,Maize,iPG004,WD1,2
211/DZ_PG_12/ZM1304_lot1/WD1/2/DIA2017-05-19,Plant,DIA2017,Maize,iPG082,WD1,2
212/DZ_PG_69/ZM4396/WD1/2/DIA2017-05-19,Plant,DIA2017,Maize,iPG312,WD1,2
213/DZ_PG_03/ZM4377/WD1/2/DIA2017-05-19,Plant,DIA2017,Maize,iPG017,WD1,2
214/DKC4590/XXXX/WD1/2/DIA2017-05-19,Plant,DIA2017,Maize,DKC4590,WD1,2
215/DKC4590/XXXX/WD1/2/DIA2017-05-19,Plant,DIA2017,Maize,DKC4590,WD1,2
216/DZ_PG_44/ZM4369/WD1/2/DIA2017-05-19,Plant,DIA2017,Maize,iPG189,WD1,2
217/DZ_PG_45/ZM4385/WD1/2/DIA2017-05-19,Plant,DIA2017,Maize,iPG194,WD1,2
218/DZ_PG_33/ZM4353/WD1/2/DIA2017-05-19,Plant,DIA2017,Maize,iPG158,WD1,2
219/DZ_PG_52/ZM4370/WD1/2/DIA2017-05-19,Plant,DIA2017,Maize,iPG239,WD1,2
220/DZ_PG_45/ZM4385/WD1/2/DIA2017-05-19,Plant,DIA2017,Maize,iPG194,WD1,2
221/DZ_PG_51/ZM4350/WD1/2/DIA2017-05-19,Plant,DIA2017,Maize,iPG234,WD1,2
222/DZ_PG_47/ZM4362/WD1/2/DIA2017-05-19,Plant,DIA2017,Maize,iPG202,WD1,2
223/DZ_PG_48/ZM4421/WD1/2/DIA2017-05-19,Plant,DIA2017,Maize,iPG216,WD1,2
224/DZ_PG_11/ZM4386/WD1/2/DIA2017-05-19,Plant,DIA2017,Maize,iPG077,WD1,2
225/DZ_PG_43/ZM4380/WD1/2/DIA2017-05-19,Plant,DIA2017,Maize,iPG188,WD1,2
226/DZ_PG_54/ZM4346/WD1/2/DIA2017-05-19,Plant,DIA2017,Maize,iPG116,WD1,2
227/DZ_PG_05/ZM4357/WD1/2/DIA2017-05-19,Plant,DIA2017,Maize,iPG026,WD1,2
228/DKC4590/XXXX/WD1/2/DIA2017-05-19,Plant,DIA2017,Maize,DKC4590,WD1,2
229/DZ_PG_20/ZM4344/WD1/2/DIA2017-05-19,Plant,DIA2017,Maize,iPG119,WD1,2
230/DZ_PG_72/ZM4398/WD1/2/DIA2017-05-19,Plant,DIA2017,Maize,iPG314,WD1,2
231/DZ_PG_41/ZM4378/WD1/2/DIA2017-05-19,Plant,DIA2017,Maize,iPG181,WD1,2
232/DZ_PG_74/ZM4397/WD1/2/DIA2017-05-19,Plant,DIA2017,Maize,iPG313,WD1,2
233/DZ_PG_68/ZM4395/WD1/2/DIA2017-05-19,Plant,DIA2017,Maize,iPG311,WD1,2
234/DZ_PG_37/ZM4364/WD1/2/DIA2017-05-19,Plant,DIA2017,Maize,iPG167,WD1,2
235/DZ_PG_22/ZM4349/WD1/2/DIA2017-05-19,Plant,DIA2017,Maize,iPG121,WD1,2
236/DZ_PG_06/ZM4376/WD1/2/DIA2017-05-19,Plant,DIA2017,Maize,iPG029,WD1,2
237/DZ_PG_53/ZM4345/WD1/2/DIA2017-05-19,Plant,DIA2017,Maize,iPG190,WD1,2
238/DZ_PG_26/ZM4387/WD1/2/DIA2017-05-19,Plant,DIA2017,Maize,iPG138,WD1,2
239/DZ_PG_14/ZM4375/WD1/2/DIA2017-05-19,Plant,DIA2017,Maize,iPG101,WD1,2
240/DZ_PG_55/ZM4355/WD1/2/DIA2017-05-19,Plant,DIA2017,Maize,iPG146,WD1,2
241/DKC4590/XXXX/WD1/2/DIA2017-05-19,Plant,DIA2017,Maize,DKC4590,WD1,2
242/DKC4590/XXXX/WD1/2/DIA2017-05-19,Plant,DIA2017,Maize,DKC4590,WD1,2
243/DZ_PG_30/ZM4361/WD1/2/DIA2017-05-19,Plant,DIA2017,Maize,iPG152,WD1,2
244/DZ_PG_09/ZM4368/WD1/2/DIA2017-05-19,Plant,DIA2017,Maize,iPG066,WD1,2
245/DZ_PG_10/ZM4365/WD1/2/DIA2017-05-19,Plant,DIA2017,Maize,iPG073,WD1,2
246/DZ_PG_66/ZM4391/WD1/2/DIA2017-05-19,Plant,DIA2017,Maize,iPG318,WD1,2
247/DZ_PG_23/ZM4388/WD1/2/DIA2017-05-19,Plant,DIA2017,Maize,iPG128,WD1,2
248/DZ_PG_27/ZM4354/WD1/2/DIA2017-05-19,Plant,DIA2017,Maize,iPG103,WD1,2
249/DZ_PG_62/ZM4393/WD1/2/DIA2017-05-19,Plant,DIA2017,Maize,iPG303,WD1,2
250/DZ_PG_13/ZM4379/WD1/2/DIA2017-05-19,Plant,DIA2017,Maize,iPG089,WD1,2
251/DZ_PG_16/ZM4359/WD1/2/DIA2017-05-19,Plant,DIA2017,Maize,iPG109,WD1,2
252/DZ_PG_32/ZM4352/WD1/2/DIA2017-05-19,Plant,DIA2017,Maize,iPG155,WD1,2
253/DZ_PG_77/ZM4452/WD1/2/DIA2017-05-19,Plant,DIA2017,Maize,iPG169,WD1,2
254/DZ_PG_62/ZM4393/WD1/2/DIA2017-05-19,Plant,DIA2017,Maize,iPG303,WD1,2
255/DZ_PG_02/ZM4356/WD1/2/DIA2017-05-19,Plant,DIA2017,Maize,iPG007,WD1,2
256/DZ_PG_08/ZM4343/WD1/2/DIA2017-05-19,Plant,DIA2017,Maize,iPG063,WD1,2
257/DZ_PG_67/ZM4394/WD1/2/DIA2017-05-19,Plant,DIA2017,Maize,iPG310,WD1,2
258/DZ_PG_40/ZM4390/WD1/2/DIA2017-05-19,Plant,DIA2017,Maize,iPG176,WD1,2
259/DZ_PG_07/ZM4351/WD1/2/DIA2017-05-19,Plant,DIA2017,Maize,iPG062,WD1,2
260/DZ_PG_67/ZM4394/WD1/2/DIA2017-05-19,Plant,DIA2017,Maize,iPG310,WD1,2
261/DZ_PG_51/ZM4350/WD2/1/DIA2017-05-19,Plant,DIA2017,Maize,iPG234,WD2,1
262/DZ_PG_08/ZM4343/WD2/1/DIA2017-05-19,Plant,DIA2017,Maize,iPG063,WD2,1
263/DZ_PG_67/ZM4394/WD2/1/DIA2017-05-19,Plant,DIA2017,Maize,iPG310,WD2,1
264/DZ_PG_43/ZM4380/WD2/1/DIA2017-05-19,Plant,DIA2017,Maize,iPG188,WD2,1
265/DZ_PG_01/ZM4381/WD2/1/DIA2017-05-19,Plant,DIA2017,Maize,iPG004,WD2,1
266/DZ_PG_66/ZM4391/WD2/1/DIA2017-05-19,Plant,DIA2017,Maize,iPG318,WD2,1
267/DZ_PG_69/ZM4396/WD2/1/DIA2017-05-19,Plant,DIA2017,Maize,iPG312,WD2,1
268/DZ_PG_62/ZM4393/WD2/1/DIA2017-05-19,Plant,DIA2017,Maize,iPG303,WD2,1
269/DZ_PG_04/ZM4366/WD2/1/DIA2017-05-19,Plant,DIA2017,Maize,iPG321,WD2,1
270/DZ_PG_48/ZM4421/WD2/1/DIA2017-05-19,Plant,DIA2017,Maize,iPG216,WD2,1
271/DZ_PG_34/ZM4384/WD2/1/DIA2017-05-19,Plant,DIA2017,Maize,iPG159,WD2,1
272/DZ_PG_69/ZM4396/WD2/1/DIA2017-05-19,Plant,DIA2017,Maize,iPG312,WD2,1
273/DZ_PG_02/ZM4356/WD2/1/DIA2017-05-19,Plant,DIA2017,Maize,iPG007,WD2,1
274/DZ_PG_32/ZM4352/WD2/1/DIA2017-05-19,Plant,DIA2017,Maize,iPG155,WD2,1
275/DZ_PG_12/ZM1304_lot1/WD2/1/DIA2017-05-19,Plant,DIA2017,Maize,iPG082,WD2,1
276/DZ_PG_03/ZM4377/WD2/1/DIA2017-05-19,Plant,DIA2017,Maize,iPG017,WD2,1
277/DZ_PG_67/ZM4394/WD2/1/DIA2017-05-19,Plant,DIA2017,Maize,iPG310,WD2,1
278/DZ_PG_30/ZM4361/WD2/1/DIA2017-05-19,Plant,DIA2017,Maize,iPG152,WD2,1
279/DZ_PG_19/ZM4367/WD2/1/DIA2017-05-19,Plant,DIA2017,Maize,iPG117,WD2,1
280/DZ_PG_21/ZM4360/WD2/1/DIA2017-05-19,Plant,DIA2017,Maize,iPG120,WD2,1
281/DZ_PG_55/ZM4355/WD2/1/DIA2017-05-19,Plant,DIA2017,Maize,iPG146,WD2,1
282/DZ_PG_68/ZM4395/WD2/1/DIA2017-05-19,Plant,DIA2017,Maize,iPG311,WD2,1
283/DZ_PG_27/ZM4354/WD2/1/DIA2017-05-19,Plant,DIA2017,Maize,iPG103,WD2,1
284/DZ_PG_41/ZM4378/WD2/1/DIA2017-05-19,Plant,DIA2017,Maize,iPG181,WD2,1
285/DZ_PG_63/ZM4392/WD2/1/DIA2017-05-19,Plant,DIA2017,Maize,iPG304,WD2,1
286/DZ_PG_09/ZM4368/WD2/1/DIA2017-05-19,Plant,DIA2017,Maize,iPG066,WD2,1
287/DZ_PG_06/ZM4376/WD2/1/DIA2017-05-19,Plant,DIA2017,Maize,iPG029,WD2,1
288/DZ_PG_22/ZM4349/WD2/1/DIA2017-05-19,Plant,DIA2017,Maize,iPG121,WD2,1
289/DZ_PG_37/ZM4364/WD2/1/DIA2017-05-19,Plant,DIA2017,Maize,iPG167,WD2,1
290/DZ_PG_49/ZM4389/WD2/1/DIA2017-05-19,Plant,DIA2017,Maize,iPG228,WD2,1
291/DZ_PG_17/ZM4348/WD2/1/DIA2017-05-19,Plant,DIA2017,Maize,iPG110,WD2,1
292/DZ_PG_72/ZM4398/WD2/1/DIA2017-05-19,Plant,DIA2017,Maize,iPG314,WD2,1
293/DZ_PG_47/ZM4362/WD2/1/DIA2017-05-19,Plant,DIA2017,Maize,iPG202,WD2,1
294/DZ_PG_13/ZM4379/WD2/1/DIA2017-05-19,Plant,DIA2017,Maize,iPG089,WD2,1
295/DZ_PG_25/ZM4382/WD2/1/DIA2017-05-19,Plant,DIA2017,Maize,iPG136,WD2,1
296/DZ_PG_24/ZM4342/WD2/1/DIA2017-05-19,Plant,DIA2017,Maize,iPG131,WD2,1
297/DKC4590/XXXX/WD2/1/DIA2017-05-19,Plant,DIA2017,Maize,DKC4590,WD2,1
298/DKC4590/XXXX/WD2/1/DIA2017-05-19,Plant,DIA2017,Maize,DKC4590,WD2,1
299/DKC4590/XXXX/WD2/1/DIA2017-05-19,Plant,DIA2017,Maize,DKC4590,WD2,1
300/DZ_PG_52/ZM4370/WD2/1/DIA2017-05-19,Plant,DIA2017,Maize,iPG239,WD2,1
301/DZ_PG_50/ZM4363/WD2/1/DIA2017-05-19,Plant,DIA2017,Maize,iPG233,WD2,1
302/DZ_PG_14/ZM4375/WD2/1/DIA2017-05-19,Plant,DIA2017,Maize,iPG101,WD2,1
303/DZ_PG_20/ZM4344/WD2/1/DIA2017-05-19,Plant,DIA2017,Maize,iPG119,WD2,1
304/DZ_PG_40/ZM4390/WD2/1/DIA2017-05-19,Plant,DIA2017,Maize,iPG176,WD2,1
305/DKC4590/XXXX/WD2/1/DIA2017-05-19,Plant,DIA2017,Maize,DKC4590,WD2,1
306/DKC4590/XXXX/WD2/1/DIA2017-05-19,Plant,DIA2017,Maize,DKC4590,WD2,1
307/DZ_PG_62/ZM4393/WD2/1/DIA2017-05-19,Plant,DIA2017,Maize,iPG303,WD2,1
308/DZ_PG_23/ZM4388/WD2/1/DIA2017-05-19,Plant,DIA2017,Maize,iPG128,WD2,1
309/DZ_PG_74/ZM4397/WD2/1/DIA2017-05-19,Plant,DIA2017,Maize,iPG313,WD2,1
310/DZ_PG_44/ZM4369/WD2/1/DIA2017-05-19,Plant,DIA2017,Maize,iPG189,WD2,1
311/DZ_PG_77/ZM4452/WD2/1/DIA2017-05-19,Plant,DIA2017,Maize,iPG169,WD2,1
312/DZ_PG_62/ZM4393/WD2/1/DIA2017-05-19,Plant,DIA2017,Maize,iPG303,WD2,1
313/DZ_PG_45/ZM4385/WD2/1/DIA2017-05-19,Plant,DIA2017,Maize,iPG194,WD2,1
314/DZ_PG_36/ZM4372/WD2/1/DIA2017-05-19,Plant,DIA2017,Maize,iPG165,WD2,1
315/DZ_PG_11/ZM4386/WD2/1/DIA2017-05-19,Plant,DIA2017,Maize,iPG077,WD2,1
316/DZ_PG_35/ZM4358/WD2/1/DIA2017-05-19,Plant,DIA2017,Maize,iPG164,WD2,1
317/DZ_PG_26/ZM4387/WD2/1/DIA2017-05-19,Plant,DIA2017,Maize,iPG138,WD2,1
318/DZ_PG_07/ZM4351/WD2/1/DIA2017-05-19,Plant,DIA2017,Maize,iPG062,WD2,1
319/DZ_PG_05/ZM4357/WD2/1/DIA2017-05-19,Plant,DIA2017,Maize,iPG026,WD2,1
320/DZ_PG_31/ZM4347/WD2/1/DIA2017-05-19,Plant,DIA2017,Maize,iPG153,WD2,1
321/DZ_PG_54/ZM4346/WD2/1/DIA2017-05-19,Plant,DIA2017,Maize,iPG116,WD2,1
322/DZ_PG_33/ZM4353/WD2/1/DIA2017-05-19,Plant,DIA2017,Maize,iPG158,WD2,1
323/DZ_PG_16/ZM4359/WD2/1/DIA2017-05-19,Plant,DIA2017,Maize,iPG109,WD2,1
324/DZ_PG_10/ZM4365/WD2/1/DIA2017-05-19,Plant,DIA2017,Maize,iPG073,WD2,1
325/DZ_PG_53/ZM4345/WD2/1/DIA2017-05-19,Plant,DIA2017,Maize,iPG190,WD2,1
326/DZ_PG_53/ZM4345/WD2/2/DIA2017-05-19,Plant,DIA2017,Maize,iPG190,WD2,2
327/DZ_PG_14/ZM4375/WD2/2/DIA2017-05-19,Plant,DIA2017,Maize,iPG101,WD2,2
328/DZ_PG_01/ZM4381/WD2/2/DIA2017-05-19,Plant,DIA2017,Maize,iPG004,WD2,2
329/DZ_PG_67/ZM4394/WD2/2/DIA2017-05-19,Plant,DIA2017,Maize,iPG310,WD2,2
330/DZ_PG_02/ZM4356/WD2/2/DIA2017-05-19,Plant,DIA2017,Maize,iPG007,WD2,2
331/DZ_PG_37/ZM4364/WD2/2/DIA2017-05-19,Plant,DIA2017,Maize,iPG167,WD2,2
332/DZ_PG_40/ZM4390/WD2/2/DIA2017-05-19,Plant,DIA2017,Maize,iPG176,WD2,2
333/DZ_PG_12/ZM1304_lot1/WD2/2/DIA2017-05-19,Plant,DIA2017,Maize,iPG082,WD2,2
334/DZ_PG_43/ZM4380/WD2/2/DIA2017-05-19,Plant,DIA2017,Maize,iPG188,WD2,2
335/DZ_PG_06/ZM4376/WD2/2/DIA2017-05-19,Plant,DIA2017,Maize,iPG029,WD2,2
336/DZ_PG_19/ZM4367/WD2/2/DIA2017-05-19,Plant,DIA2017,Maize,iPG117,WD2,2
337/DZ_PG_36/ZM4372/WD2/2/DIA2017-05-19,Plant,DIA2017,Maize,iPG165,WD2,2
338/DZ_PG_11/ZM4386/WD2/2/DIA2017-05-19,Plant,DIA2017,Maize,iPG077,WD2,2
339/DZ_PG_62/ZM4393/WD2/2/DIA2017-05-19,Plant,DIA2017,Maize,iPG303,WD2,2
340/DZ_PG_55/ZM4355/WD2/2/DIA2017-05-19,Plant,DIA2017,Maize,iPG146,WD2,2
341/DZ_PG_33/ZM4353/WD2/2/DIA2017-05-19,Plant,DIA2017,Maize,iPG158,WD2,2
342/DZ_PG_04/ZM4366/WD2/2/DIA2017-05-19,Plant,DIA2017,Maize,iPG321,WD2,2
343/DZ_PG_48/ZM4421/WD2/2/DIA2017-05-19,Plant,DIA2017,Maize,iPG216,WD2,2
344/DKC4590/XXXX/WD2/2/DIA2017-05-19,Plant,DIA2017,Maize,DKC4590,WD2,2
345/DKC4590/XXXX/WD2/2/DIA2017-05-19,Plant,DIA2017,Maize,DKC4590,WD2,2
346/DZ_PG_49/ZM4389/WD2/2/DIA2017-05-19,Plant,DIA2017,Maize,iPG228,WD2,2
347/DZ_PG_68/ZM4395/WD2/2/DIA2017-05-19,Plant,DIA2017,Maize,iPG311,WD2,2
348/DZ_PG_62/ZM4393/WD2/2/DIA2017-05-19,Plant,DIA2017,Maize,iPG303,WD2,2
349/DZ_PG_77/ZM4452/WD2/2/DIA2017-05-19,Plant,DIA2017,Maize,iPG169,WD2,2
350/DZ_PG_32/ZM4352/WD2/2/DIA2017-05-19,Plant,DIA2017,Maize,iPG155,WD2,2
351/DZ_PG_26/ZM4387/WD2/2/DIA2017-05-19,Plant,DIA2017,Maize,iPG138,WD2,2
352/DZ_PG_74/ZM4397/WD2/2/DIA2017-05-19,Plant,DIA2017,Maize,iPG313,WD2,2
353/DZ_PG_54/ZM4346/WD2/2/DIA2017-05-19,Plant,DIA2017,Maize,iPG116,WD2,2
354/DZ_PG_67/ZM4394/WD2/2/DIA2017-05-19,Plant,DIA2017,Maize,iPG310,WD2,2
355/DZ_PG_62/ZM4393/WD2/2/DIA2017-05-19,Plant,DIA2017,Maize,iPG303,WD2,2
356/DZ_PG_69/ZM4396/WD2/2/DIA2017-05-19,Plant,DIA2017,Maize,iPG312,WD2,2
357/DZ_PG_24/ZM4342/WD2/2/DIA2017-05-19,Plant,DIA2017,Maize,iPG131,WD2,2
358/DKC4590/XXXX/WD2/2/DIA2017-05-19,Plant,DIA2017,Maize,DKC4590,WD2,2
359/DZ_PG_34/ZM4384/WD2/2/DIA2017-05-19,Plant,DIA2017,Maize,iPG159,WD2,2
360/DZ_PG_41/ZM4378/WD2/2/DIA2017-05-19,Plant,DIA2017,Maize,iPG181,WD2,2
361/DZ_PG_03/ZM4377/WD2/2/DIA2017-05-19,Plant,DIA2017,Maize,iPG017,WD2,2
362/DZ_PG_27/ZM4354/WD2/2/DIA2017-05-19,Plant,DIA2017,Maize,iPG103,WD2,2
363/DZ_PG_25/ZM4382/WD2/2/DIA2017-05-19,Plant,DIA2017,Maize,iPG136,WD2,2
364/DZ_PG_16/ZM4359/WD2/2/DIA2017-05-19,Plant,DIA2017,Maize,iPG109,WD2,2
365/DZ_PG_44/ZM4369/WD2/2/DIA2017-05-19,Plant,DIA2017,Maize,iPG189,WD2,2
366/DZ_PG_10/ZM4365/WD2/2/DIA2017-05-19,Plant,DIA2017,Maize,iPG073,WD2,2
367/DZ_PG_21/ZM4360/WD2/2/DIA2017-05-19,Plant,DIA2017,Maize,iPG120,WD2,2
368/DZ_PG_45/ZM4385/WD2/2/DIA2017-05-19,Plant,DIA2017,Maize,iPG194,WD2,2
369/DZ_PG_35/ZM4358/WD2/2/DIA2017-05-19,Plant,DIA2017,Maize,iPG164,WD2,2
370/DZ_PG_08/ZM4343/WD2/2/DIA2017-05-19,Plant,DIA2017,Maize,iPG063,WD2,2
371/DKC4590/XXXX/WD2/2/DIA2017-05-19,Plant,DIA2017,Maize,DKC4590,WD2,2
372/DKC4590/XXXX/WD2/2/DIA2017-05-19,Plant,DIA2017,Maize,DKC4590,WD2,2
373/DZ_PG_17/ZM4348/WD2/2/DIA2017-05-19,Plant,DIA2017,Maize,iPG110,WD2,2
374/DZ_PG_07/ZM4351/WD2/2/DIA2017-05-19,Plant,DIA2017,Maize,iPG062,WD2,2
375/DZ_PG_20/ZM4344/WD2/2/DIA2017-05-19,Plant,DIA2017,Maize,iPG119,WD2,2
376/DZ_PG_09/ZM4368/WD2/2/DIA2017-05-19,Plant,DIA2017,Maize,iPG066,WD2,2
377/DZ_PG_22/ZM4349/WD2/2/DIA2017-05-19,Plant,DIA2017,Maize,iPG121,WD2,2
378/DZ_PG_13/ZM4379/WD2/2/DIA2017-05-19,Plant,DIA2017,Maize,iPG089,WD2,2
379/DZ_PG_63/ZM4392/WD2/2/DIA2017-05-19,Plant,DIA2017,Maize,iPG304,WD2,2
380/DZ_PG_50/ZM4363/WD2/2/DIA2017-05-19,Plant,DIA2017,Maize,iPG233,WD2,2
381/DZ_PG_47/ZM4362/WD2/2/DIA2017-05-19,Plant,DIA2017,Maize,iPG202,WD2,2
382/DZ_PG_31/ZM4347/WD2/2/DIA2017-05-19,Plant,DIA2017,Maize,iPG153,WD2,2
383/DZ_PG_69/ZM4396/WD2/2/DIA2017-05-19,Plant,DIA2017,Maize,iPG312,WD2,2
384/DZ_PG_52/ZM4370/WD2/2/DIA2017-05-19,Plant,DIA2017,Maize,iPG239,WD2,2
385/DZ_PG_72/ZM4398/WD2/2/DIA2017-05-19,Plant,DIA2017,Maize,iPG314,WD2,2
386/DZ_PG_30/ZM4361/WD2/2/DIA2017-05-19,Plant,DIA2017,Maize,iPG152,WD2,2
387/DZ_PG_23/ZM4388/WD2/2/DIA2017-05-19,Plant,DIA2017,Maize,iPG128,WD2,2
388/DZ_PG_05/ZM4357/WD2/2/DIA2017-05-19,Plant,DIA2017,Maize,iPG026,WD2,2
389/DZ_PG_66/ZM4391/WD2/2/DIA2017-05-19,Plant,DIA2017,Maize,iPG318,WD2,2
390/DZ_PG_51/ZM4350/WD2/2/DIA2017-05-19,Plant,DIA2017,Maize,iPG234,WD2,2
